Timestamp,CPU%,MemoryMB,GPU%,GPUMemoryMB
2025-10-27 15:45:52,96,19076,30,2425
2025-10-27 15:45:54,100,19167,0,2425
2025-10-27 15:45:56,95,19323,0,2425
2025-10-27 15:45:58,100,19752,0,2425
2025-10-27 15:46:01,92,18996,0,2425
2025-10-27 15:46:03,95,18958,11,2425
2025-10-27 15:46:05,97,19237,0,2425
2025-10-27 15:46:07,99,19580,0,2425
2025-10-27 15:46:10,98,19118,0,2425
2025-10-27 15:46:12,91,19089,47,2425
2025-10-27 15:46:14,98,19246,0,2425
2025-10-27 15:46:17,91,19565,0,2425
2025-10-27 15:46:19,100,19826,0,2425
2025-10-27 15:46:21,95,19167,71,2425
2025-10-27 15:46:23,94,19246,0,2425
2025-10-27 15:46:26,98,19560,0,2425
2025-10-27 15:46:28,93,19711,0,2425
2025-10-27 15:46:30,98,19182,51,2425
2025-10-27 15:46:32,100,19209,14,2425
2025-10-27 15:46:35,100,19377,0,2425
2025-10-27 15:46:37,95,19632,0,2425
2025-10-27 15:46:39,96,19094,4,2425
2025-10-27 15:46:42,96,19155,61,2425
2025-10-27 15:46:44,96,19244,0,2425
2025-10-27 15:46:46,100,19614,0,2425
2025-10-27 15:46:48,99,19661,0,2425
2025-10-27 15:46:51,93,19173,71,2425
2025-10-27 15:46:53,99,19210,0,2425
2025-10-27 15:46:55,95,19438,0,2425
2025-10-27 15:46:57,99,19774,0,2425
2025-10-27 15:47:00,94,19227,39,2425
2025-10-27 15:47:02,100,19242,0,2425
2025-10-27 15:47:04,99,19464,0,2425
2025-10-27 15:47:07,97,19742,0,2425
2025-10-27 15:47:09,96,19279,0,2425
2025-10-27 15:47:11,93,19121,16,2425
2025-10-27 15:47:13,96,19348,0,2425
2025-10-27 15:47:16,99,19593,0,2425
2025-10-27 15:47:18,95,19534,0,2425
2025-10-27 15:47:20,96,19095,59,2425
2025-10-27 15:47:22,96,19248,0,2425
2025-10-27 15:47:25,94,19425,0,2425
2025-10-27 15:47:27,100,19752,0,2425
2025-10-27 15:47:29,95,19100,72,2425
2025-10-27 15:47:32,97,19085,0,2425
2025-10-27 15:47:34,92,19365,0,2425
2025-10-27 15:47:36,93,19753,0,2425
2025-10-27 15:47:38,91,19225,27,2425
2025-10-27 15:47:41,95,19215,39,2425
2025-10-27 15:47:43,92,19408,0,2425
2025-10-27 15:47:45,99,19783,0,2425
2025-10-27 15:47:47,98,19674,0,2425
2025-10-27 15:47:50,91,19217,71,2425
2025-10-27 15:47:52,96,19143,0,2425
2025-10-27 15:47:54,94,19492,0,2425
2025-10-27 15:47:57,94,20048,0,2425
2025-10-27 15:47:59,96,19395,71,2425
2025-10-27 15:48:01,96,19318,0,2425
2025-10-27 15:48:03,95,19543,0,2425
2025-10-27 15:48:06,100,19832,0,2425
2025-10-27 15:48:08,97,19265,1,2425
2025-10-27 15:48:10,92,19219,66,2425
2025-10-27 15:48:12,98,19386,0,2425
2025-10-27 15:48:15,99,19749,0,2425
2025-10-27 15:48:17,97,19323,0,2425
2025-10-27 15:48:19,93,19286,46,2425
2025-10-27 15:48:22,95,19450,0,2425
2025-10-27 15:48:24,93,19670,0,2425
2025-10-27 15:48:26,94,20097,0,2425
2025-10-27 15:48:28,92,19449,71,2425
2025-10-27 15:48:31,93,19491,0,2425
2025-10-27 15:48:33,99,19692,0,2425
2025-10-27 15:48:35,98,19880,0,2425
2025-10-27 15:48:37,98,19303,72,2425
